Speaker,About,Sentence
Rachel,Monica,"Okay, but Monica, what if"
Monica,Phoebe,Phoebe? 
Monica,George Stephanopoulos,Are you nuts?! We've got George Stephanopoulos' pizza! 
Phoebe,Jason,"Oh! Oh! Oh! Okay, fine, fine. Now I don't feel so bad about sleeping with Jason Hurley. "
Monica,Jason,What?! You slept with Jason? 
Chandler,Rachel,"Hello? Oh, uh, Rachel, it's the "
Monica,Chandler,"Chandler, nobody likes breaking up with someone. You just gotta do it."
Phoebe,Tony,"No, I mean you break up with Janice and I'll break up with Tony. "
Ross,Tony,Tony?
Monica,Tony,"Oh, you're breaking up with Tony?"
Angela,Joey,"Hi, Joey."
Ross,Rachel,"So, uh, Rachel, what are you, uh, what're you doing tonight?"
Rachel,Monica,"Oh, big glamour night. Me and Monica at Laundorama."
Rachel,Don,Don't you have a laundry room in your building?
Angela,Bob,Forget it Joey. I'm with Bob now.
Angela,Joey,Forget it Joey. I'm with Bob now.
Joey,Bob,Bob? Who the hell's Bob?
Angela,Bob,"Bob is great. He's smart, he's sophisticated, and he has a real job. You, you go on three auditions a month and you call yourself an actor, but Bob..."
Joey,Bob,"You know, you and Bob, and me and my girlfriend, uh, uh, Monica."
Joey,Monica,"You know, you and Bob, and me and my girlfriend, uh, uh, Monica."
Joey,Monica,"Monica, I'm tellin' you, this guy is perfect for you."
Joey,Bob,"Come on. This guy's great. His name's Bob. He's Angela's... brother. He's smart, he's sophisticated, and he has a real job. Me, I go on three auditions a month and call myself an actor, but Bob is..."
Monica,Ugly Naked Guy,Ugly Naked Guy's laying kitchen tile. Eww!
Chandler,Rachel,"It's just you and Rachel, just the two of you? This is a date. You're going on a date."
Monica,Bob,Thank you. So what does this Bob guy look like? Is he tall? Short?
Monica,Bob,"You've never met Bob, have you?"
Monica,Joey,"Oh my god, Joey, for all we know this guy could be horribly..."
Angela,Joey,"Hey, Joey."
Bob,Monica,"Monica, Monica is great."
Monica,Bob,"I've gotta tell you, Bob is terrific."
Rachel,Ross,"Ross, what's the matter?"
Monica,Joey,"Something went wrong with Underdog, and they couldn't get his head to inflate. So anyway, um, his head is like flopping down Broadway, right, and I'm just thinking... how inappropriate this is. Um, I've got something in my eye, uh, Joey, could we check it in the light, please? "
Joey,Ross,"Oh, like you've never gotten a little rambunctious with Ross."
Monica,Joey,"Joey, this is sick, it's disgusting, it's, it's"
Phoebe,Chandler,"Chandler, easy, easy. Go to your happy place. La la la la la la la."
Rachel,Chandler,Where's Chandler?
Aurora,Chandler,Chandler?
Joey,Estelle Leonard,"The Estelle Leonard Talent Agency. Wow, an agency left me its card! Maybe they wanna sign me!"
Aurora,Rick,'We' would be me and Rick.
Joey,Rick,Who's Rick?
Chandler,Rick,Who's Rick?
Chandler,Hope,"Oh, I'm sorry, then you're widowed?...Hopefully?"
Aurora,Don,"Don't worry. I imagine he'd be okay with you because really, he's okay with Ethan."
Aurora,Ethan,"Don't worry. I imagine he'd be okay with you because really, he's okay with Ethan."
Chandler,Ethan,"Ethan? There's, there's an Ethan?"
Aurora,Ethan,Mmmm... Ethan is my... boyfriend.
Phoebe,Ross,"Oh, yeah. That is not true. Ross, is this your fantasy?"
Monica,Joey,"Good for you, Joey."
Phoebe,Monica,"Yeah, you are, Monica. Remember when I lived with you? You were like, a little, y'know, "
Ross,Monica,Monica? You're Mom.
Ross,Joey,"C'mon, seriously, Joey, what's the part?"
Chandler,Joey,Where's Joey? His mom's on the phone.
Chandler,Aurora,"Oh, that would be Monica. Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast."
Chandler,Monica,"Oh, that would be Monica. Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast."
Chandler,Ethan,"Yeah, well, I only have twenty minutes until Ethan, so, y'know.. "
Monica,Chandler,"Sure. Oh, um, Chandler? Y'know, the"
Chandler,Don,Don't go.
Aurora,Rick,It's not Rick.
Chandler,Ethan,"What, Ethan? He got to spend the whole day with you!"
Chandler,Ethan,"Oh, so what you're saying is you're not completely fulfilled by Rick, Ethan and myself?"
Chandler,Rick,"Oh, so what you're saying is you're not completely fulfilled by Rick, Ethan and myself?"
Rachel,Joey,"Oh, Joey, you know what, no"
Phoebe,Joey,"No, I don't think this was your shot. I mean, I don't even think you just get one shot. I really believe big things are gonna happen for you, I do! You've gotta just keep thinking about the day that some kid is gonna run up to his friends and go 'I got the part! I got the part! I'm gonna be Joey Tribbiani's ass!'."
Monica,Joey,"I'm sorry, Joey. I'm gonna go to bed, guys. "
Rachel,Phoebe,"Everybody? Shh, shhh. Uhhh... Central Perk is proud to present the music of Miss Phoebe Buffay."
Joey,Chandler,"Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone."
Rachel,Ross,Um... Ross?
Phoebe,Rachel,"Oh, Rachel."
Rachel,Ross,"Oh Ross, you're so great. "
Joey,Rachel,You and Rachel.
Joey,Ross,"Ross, you're mayor of the zone."
Joey,Ross,"Priesthood! Look Ross, I'm telling you, she has no idea what you're thinking. If you don't ask her out soon you're going to end up stuck in the zone forever."
Joey,Rachel,"Yeeeeaaaahhh! What's messing you up? The wine? The candles? The moonlight? You've just got to go up to her and say, 'Rachel, I think that...' "
Monica,Joey,"Joey, what's going on?"
Joey,Ross,"OK, you've got to promise that you'll never, ever tell Ross that I told you."
Monica,Joey,Oh stop it. Joey already told me.
Joey,Ross,"Hey, don't look at me. This is Ross's thing."
Rachel,Bob,Bob Buttons?
Rachel,Joey,And Joey....
Rachel,Ross,And Ross.
Rachel,Paolo,"Well, the cat... the cat turned out to be Paolo's cat!"
Rachel,Paolo's cat,"Well, the cat... the cat turned out to be Paolo's cat!"
Rachel,Paolo,"Oh, I found him. He was Paolo's cat."
Rachel,Paolo's cat,"Oh, I found him. He was Paolo's cat."
Phoebe,Paolo,Ah! Well! There you go! Last to know again! And I'm guessing... since nobody told me... this is Paolo.
Rachel,Paolo,"Ah, Paolo, this is Phoebe."
Rachel,Phoebe,"Ah, Paolo, this is Phoebe."
Ross,Paolo,Paolo. Hi.
Ross,Rachel,"Listen. Um, listen. Something you should... know... um, Rachel and I... we're kind of a thing."
Ross,Rachel,"No, no, no. Technically the... sex is not... being had, but that's... see, that's not the point. See, um, the point is that... Rachel and I should be, er, together. You know, and if you get in the.... um... "
Jill,Chandler,"Chandler, we've been here for an hour doing this! Now watch, it's easy."
Joey,Monica,"Hey Ross. This probably isn't the best time to bring it up, but you have to throw a party for Monica."
Joey,Ross,"Hey Ross. This probably isn't the best time to bring it up, but you have to throw a party for Monica."
Jill,Chandler,"Well, goodbye Chandler. I had a great blackout. "
Rachel,Phoebe,"Yeah, but then you spent Phoebe's entire birthday party talking to my breasts, so then I figured maybe not."
Chandler,Ross,"Ross is smart and funny, d'you ever think that about him?"
Monica,Paolo,"Hello? Hello? Oh! Rachel, it's Paolo calling from Rome. "
Monica,Rachel,"Hello? Hello? Oh! Rachel, it's Paolo calling from Rome. "
Rachel,Monica,"Monica, your dad just beeped in, but can you make it quick? Talking to Rome. "
Monica,Ross,Ross!
Rachel,Paolo,Yes. Paolo sent them from Italy.
Rachel,Paolo,Oh no! My new Paolo shoes!
All,Ross,God! Ross!
Ross,Chandler,...Chandler! 
Ross,Rachel,Rachel. Rachel Rachel. 
Rachel,Monica,"Wow, Monica, you look just like your grandmother. How old was she there?"
Rachel,Terry,"Terry, I, I, I know that I haven't worked here very long, but I was wondering, do you think it would be possible if I got a $100 advance in my salary?"
Terry,Rachel,"Rachel, Rachel, sweetheart. You're a terrible, terrible waitress. Really, really awful."
Monica,Ross,"Hey. Ross, did you know Mom and Dad are going to Puerto Rico for Thanksgiving?"
Chandler,Joey,"That's so funny, 'cause I was thinking you look more like Joey Tribbiani, man slash woman."
Monica,Chandler,"And I assume, Chandler, you are still boycotting all the pilgrim holidays."
Monica,Phoebe,"Phoebe, you're gonna be with your grandma?"
Susan,Bob,"But um, we just refer to you as Bobo the Sperm Guy."
Rachel,Chandler,"Wait, wait, Chandler, this is what you're havin' for Thanksgiving dinner? What, what, what is it with you and this holiday?"
Joey,Chandler,"Chandler, will you just come in already?"
Joey,Monica,"Hey, Monica, I got a question. I don't see any tater tots."
Monica,Phoebe,"What, Phoebe, did you whip the potatoes? Ross needs lumps!"
Monica,Ross,"What, Phoebe, did you whip the potatoes? Ross needs lumps!"
Chandler,Monica,"Ok, Monica, only dogs can hear you now, so, look, the door's open. Here we go."
Monica,Ross,"No, it doesn't, does it? But you wanted lumps, Ross? "
Phoebe,Ugly Naked Guy,Ugly Naked Guy's taking his turkey out of the oven. Oh my god. He's not alone. Ugly Naked Guy's having Thanksgiving dinner with Ugly Naked Gal.
Joey,Ugly Naked Guy,I've gotta see this. All right Ugly Naked Guy!
Monica,Dan,"Ooh, Ugly Naked Dancing!"
Ross,Marcel,'That' would be Marcel. You wanna say hi?
Chandler,Ross,"Hey, that monkey's got a Ross on its ass!"
Monica,Ross,"Ross, is he gonna live with you, like, in your apartment?"
Chandler,Paolo,"Nothing for you, you have Paolo. You don't have to face the horrible pressures of this holiday"
Rachel,Paolo,"Well, for your information, Paolo is gonna be in Rome this New Year, so I'll be just as pathetic as the rest of you. "
Chandler,Dick Clark,"It's just that I'm sick of being a victim of this Dick Clark holiday. I say this year, no dates, we make a pact. Just the six of us"
Rachel,Phoebe,"Phoebe, you're on."
Ross,Marcel,"Come here, Marcel. Sit here. "
Rachel,Paolo,"Pheebs, I can't believe he hasn't kissed you yet. I mean God, by my sixth date with Paolo, I mean he had already named both my breasts! ...Ooh. Did I just share too much?"
Phoebe,David,"David's like, y'know, Scientist Guy. He's very methodical."
Chandler,Joey,Too many jokes... must mock Joey! 
Monica,Ross,Ross! He's playing with my spatulas again!
Phoebe,David,"Oh, David, I, I think you are a sweeping sorta fella. I mean, you're a sweeper! ...trapped inside a physicist's body."
Monica,Chandler,"I'm sorry, okay. It's just that Chandler has somebody, and Phoebe has somebody"
Monica,Phoebe,"I'm sorry, okay. It's just that Chandler has somebody, and Phoebe has somebody"
Chandler,Bob,Fun Bobby? Your ex
Chandler,Fun Bobby,Fun Bobby? Your ex
Joey,Bob,You know more than one Fun Bobby?
Joey,Fun Bobby,You know more than one Fun Bobby?
Chandler,Bob,I happen to know a Fun Bob.
Rachel,Paolo,Sorry. Paolo's catching an earlier flight.
Rachel,Paolo's cat,Sorry. Paolo's catching an earlier flight.
Max,Phoebe,Phoebe. Hi. 
Phoebe,Max,"Oh, hi Max! Hey, do you know everybody?"
Max,David,No. Have you seen David?
Max,Russ,Minsk. It's in Russia.
Phoebe,Max,"Um, well, Max told me about Minsk, so "
Max,David,"Tell her, David. 'I don't wanna go to Minsk and work with Lifson and Yamaguchi and Flench, on nonononononono. I wanna stay here and make out with my girlfriend!!' "
David,Max,"Thank you, Max. Thank you."
David,Max,It was Max's stuff. 
Joey,Sandy,Sandy! Hi! C'mon in! 
Monica,Rachel,"Oh my gosh! Rachel, honey.. are you okay? Where"
Janice,Ross,"Here, Ross, take our picture. "
Monica,Bob,Hey everybody! It's Fun Bobby!
Monica,Fun Bobby,Hey everybody! It's Fun Bobby!
Janice,Chandler,"Oh my God. You listen to me, Chandler, you listen to me. One of these times is just gonna be your last chance with me. "
Phoebe,Max,"Hi, Max!"
Joey,Sandy,You seen Sandy?
Chandler,Max,"Ooh. Uh, I don't know how to tell you this, but she's in Monica's bedroom, getting it on with Max, that scientist geek. Ooh, look at that, I did know how to tell you."
Chandler,Monica,"Ooh. Uh, I don't know how to tell you this, but she's in Monica's bedroom, getting it on with Max, that scientist geek. Ooh, look at that, I did know how to tell you."
Monica,Bob,Not everybody's happy. Hey Bobby!
Joey,Ross,"Nonono, you can't kiss Ross, that's your brother."
Monica,Phoebe,"Phoebe, what are you doing?"
Rachel,Chandler,"Chandler, I gotta tell you, I love your mom's books! I love her books! I cannot get on a plane without one! I mean, this is so cool!"
Ross,Chandler,"C'mon, Chandler, I love your mom. I think she's a blast."
Ross,Chandler,"Hey, is Chandler here?"
Ross,Chandler,"Okay, uh, about last night, um, Chandler.. you didn't tell... "
Ross,Joey,"Uh.. uh.. Well, Joey and I had discussed getting in an early morning racquetball game. But, um, apparently, somebody overslept."
Joey,Ross,"Ross, how could you let this happen?"
Joey,Gloria Tribbiani,"I'll have you know that Gloria Tribbiani was a handsome woman in her day, alright? You think it's easy giving birth to seven children?"
Chandler,Paolo,I can't believe it. Paolo kissed my mom?
Ross,Paolo,"I was really upset about Rachel and Paolo, and I think I had too much tequila, and Nora"
Ross,Rachel,"I was really upset about Rachel and Paolo, and I think I had too much tequila, and Nora"
Ross,Chandler,Chandler
Ross,Chandler,Chandler
Ross,Joey,Joey
Ross,Phoebe,"Oh, uh, Phoebe just started a..."
Chandler,Joey,"Yeah, I believe I was talking to Joey, alright there, Mother"
Ross,Chandler,"Chandler, can I just say something? I"
Chandler,Ross,You kissed my best Ross! ...Or something to that effect.
Joey,Ross,"Ross, did you really read all these baby books?"
Joey,Ross,"Hey Ross, listen, you know that right now, your baby's only this big? "
Rachel,Dan,"I mean, we are way past the fling thing, I mean, I am feeling things that I've only read about in Danielle Steele books, you know? I mean, when I'm with him, I'm totally, totally..."
Rachel,Danielle,"I mean, we are way past the fling thing, I mean, I am feeling things that I've only read about in Danielle Steele books, you know? I mean, when I'm with him, I'm totally, totally..."
Carol,Don,Don't you want to know about the sex?
Carol,Ross,"The sex of the baby, Ross."
Susan,Ross,"Oh, hello Ross!"
Chandler,Kip,"Yeah, yeah, it's just that with my last roommate Kip..."
Joey,Kip,"Aw, I know all about Kip!"
Joey,Kip,"Well, let me ask you something, was Kip a better roommate than me?"
Phoebe,Paolo,"Oh, Paolo, hi, what are you doing here?"
Chandler,Phoebe,Hey Phoebe!
Monica,Phoebe,"Phoebe, what's the matter?"
Joey,Chandler,"Hey, Chandler, that table place closes at 7, come on."
Monica,Phoebe,"Phoebe, what is it?"
Phoebe,Paolo,"All right, you know Paolo?"
Phoebe,Rachel,"Um, um, Rachel can we talk for a sec?"
Rachel,Paolo,"Well, sure...just a sec, though, 'cause Paolo's on his way over."
Phoebe,Paolo,Paolo made a pass at me.
Monica,Ross,Heads up Ross! 
Phoebe,Paolo,"I think she took it pretty well. You know Paolo's over there right now, so..."
Joey,Paolo,"Yes, now is when you swoop! You gotta make sure that when Paolo walks out of there, the first guy Rachel sees is you, She's gotta know that you're everything he's not! You're like, like the anti"
Joey,Rachel,"Yes, now is when you swoop! You gotta make sure that when Paolo walks out of there, the first guy Rachel sees is you, She's gotta know that you're everything he's not! You're like, like the anti"
Chandler,Ross,"My Catholic friend is right. She's distraught. You're there for her. You pick up the pieces, and then you usher in the age of Ross! "
Monica,Don,"Don't stare. Now she just finished throwing his clothes off the balcony, now there's just a lot of gesturing and arm"
Monica,Paolo,"Paolo, I really hate you for what you did to Rachel, "
Monica,Rachel,"Paolo, I really hate you for what you did to Rachel, "
Ross,Paolo,"Paolo, I"
Rachel,Ross,"Oh, Ross..."
Rachel,Ross,"Oh Ross, you're so great!"
Ross,Paolo,"Uh, no, no, see, because not...not all guys are going to be a Paolo."
Chandler,Rachel,"Rachel, wait, wait."
Phoebe,Roger,"Oh, this is my friend Roger."
Phoebe,Rachel,"Oh, okay. Feel better, Rachel, 'kay?"
Ronni,Joey,"Oh, no thanks, I'm just waiting for, uh, Joey Tribbiani."
Ronni,Joey,"Oh no, not you, big Joey. Oh my God, you're so much cuter than your pictures! "
Chandler,Joey,"Uh, Joey's having an embolism, but I'd go for a Nip, y'know?"
Chandler,Joey,"Joey, if I go first, I wanna be looking for my keys."
Joey,Chandler,"Now dad, you'll be in my room, Ronni uh, you can stay in Chandler's room."
Joey,Chandler,"Thanks, Chandler. "
Ronni,Chandler,"Yeah, uh, Joey said I could use your shower, since, uh, Chandler's in ours?"
Ronni,Joey,"Yeah, uh, Joey said I could use your shower, since, uh, Chandler's in ours?"
Rachel,Chandler,"Hey, listen, Ronni, how long would you say Chandler's been in the shower?"
Rachel,Chandler,Chandler Bing? It's time to see your thing.
Rachel,Chandler,I thought it was Chandler!
Phoebe,Roger,Good. Oh oh! Roger's having a dinner thing and he wanted me to invite you guys.
Monica,Roger,"Nothing, um, it's just, um... It's Roger. "
Joey,Tina,"Yeah. He's gonna keep cheating on my ma like she wanted, she's gonna keep pretending she doesn't know even though she does, and my little sister Tina can't see her husband any more because he got a restraining order...which has nothing to do with anything except that I found out today."
Ross,Joey,"So Joey, you okay?"
Phoebe,Roger,"Oh, okay, except I broke up with Roger."
Phoebe,Joey,"Hey, Joey. What's going on?"
Monica,Joey,Joey!! What the hell were you doing?!
Monica,Joey,"Hello, Joey."
Joey,Ross,"I'm tellin' you Ross, she wants you."
Chandler,Rachel,"Come on, Ross, you gotta get back in the game here, ok? The Rachel thing's not happening, your ex"
Chandler,Ross,"Come on, Ross, you gotta get back in the game here, ok? The Rachel thing's not happening, your ex"
Monica,Roger,Roger wants to take her out tomorrow night.
Rachel,Don,No! Phoebes! Don't you remember why you dumped the guy?
Rachel,Phoebe,No! Phoebes! Don't you remember why you dumped the guy?
Monica,Phoebe,"But Phoebe, you can go out with a creepy guy any night of the year. I know I do. "
Lorraine,Joey,"Hi, Joey. Well well, look what you brought. Very nice."
Lorraine,Joey,"She's checking the coats. Joey, I'm gonna go wash the cab smell off my hands. Will you get me a white Zinfandel, and a glass of red for Janice."
Rachel,Roger,"Ok, ok, Roger was creepy, but he was nothing compared to Pete Carney."
Monica,Howard,"Yeah, well, I'll take a little crying any day over Howard"
Janice,Chandler,"By the way, Chandler. I cut you out of all my pictures. So if you want, I have a bag with just your heads."
Joey,Chandler,"I'm outta here. Here's my credit card. Dinner's on me. I'm sorry, Chandler."
Chandler,Joey,Joey's not a friend. He's...a stupid man who left us his credit card. Another drink? Some dessert? A big screen TV?
Chandler,Roy,"That's right, each. Oh, and a uh Rob Roy. "
Monica,Chandler,"Oh, Chandler, sorry."
Monica,Chandler,"Ohhh, Chandler, sorry! Hey, Janice."
Janice,Monica,"Hi, Monica."
Rachel,Joey,"Oh, Joey, look who it is."
Chandler,Joey,"Oh, good, Joey's home now."
Monica,Ross,"Oh, hi, Ross. Yeah. There's someone I want you to say hi to. "
Janice,Ross,"Hi, Ross. Yes, it's me. How did you know? "
Monica,Rachel,"Hey, Rachel, isn't that stuff almost pure..."
Janice,Joey,"Hello, Joey, our little matchmaker. I could just kiss you all over, and I'm gonna!"
Ross,Carol Willick,"Come on. These people'll scooch down. You guys'll scooch, won't you? Let's try scooching! Come on. Come on. Uh, Kristen Riggs, this is Carol Willick. Carol, Kristin. Uh, Carol teaches sixth grade. And, Kristin, Kristin..."
Janice,Chandler,"No, it isn't, because you won't let that happen. Don't you know it yet? You love me, Chandler Bing."
Janice,Don,"No, it isn't, because you won't let that happen. Don't you know it yet? You love me, Chandler Bing."
Woman,Chandler,Chandler.
Chandler,Mrs. Tedlock,"Mrs. Tedlock. You're looking lovely today. And may I say, that is a "
Phoebe,Chandler,"Hey you guys! Chandler's coming and he says he has, like, this incredible news, so when he gets here, we could all act like, you know..."
Monica,Chandler,"Yeah, Chandler... you've been there for five years."
Chandler,Phoebe,"Thanks, Phoebe. But I just don't really see myself in a big white hat."
Chandler,Robert,"Well, I have an appointment to see Dr. Robert Pillman, career counselor a"
Monica,Phoebe,"So anyway, I'm cooking dinner for him Monday night. You know, kind of like an audition. And Phoebe, he really wants you to be here, which will be great for me because then you can 'ooh' and 'ahh' and make yummy noises."
Joey,Tony,How about Tony's? If you can finish a 32
Ross,Celia,Her name is Celia. She's not a bug lady. She's curator of insects at the museum.
Ross,Celia,"Celia, don't worry!"
Joey,Monica,"I don't know. We're talking about whipped fish, Monica. I'm just happy I'm keeping it down, y'know?"
Monica,Wendy,"But, you see, it's just... this night has to go just perfect, you know? And, well, Wendy's more of a... professional waitress."
Ross,Joey,"Joey, please."
Joey,Chandler,"Hey Chandler, while you were sleeping that guy from your old job called again."
Monica,Wendy,Wendy bailed. I have no waitress.
Monica,Rachel,"You know, Rachel, when you ran out of your wedding, I was there for you. I put a roof over your head, and if that means nothing to you... "
Rachel,Don,Done.
Rachel,Monica,Well hello! Welcome to Monica's. May I take your coat?
Steve,Monica,"Hello, Monica. "
Joey,Ross,"All right, Ross!"
Rachel,Chandler,"Maybe, but shouldn't we wait for Chandler?"
Ross,Joey,Uhhhh... Joey cried last night.
Joey,Monica,"Whoa, whoa, whoa, Monica, what're you doin'? This is a poker game. You can't serve food with more than one syllable. It's gotta be like chips, or dip, or pretz..."
Ross,Phoebe,"Alright, now, you sure? Phoebe just threw away two jacks because they didn't look happy..."
Ross,Rachel,"The game, Rachel, the game. You owe us money for the game."
Phoebe,Monica,"OK, Monica? I had another answer all ready."
Ross,Rachel,"Look, Rachel, this is poker. I play to win, alright? In order for me to win, other people have to lose. So if you're gonna play poker with me, don't expect me to be a 'nice guy,' OK? Cause once those cards are dealt... "
Chandler,Rachel,"Oh, did you get that from the 'I Love Rachel' pizzeria?"
Joey,Ross,"No, I don't think so, see Ross, because I think you love her."
Ross,Marcel,Marcel! Where are you going with that disc?
Ross,Marcel,"You are not putting that on again! Marcel, OK"
Phoebe,Monica,"Oh, hello, kettle? This is Monica. You're black."
Monica,Ross,Please! I am not as bad as Ross.
Monica,Rachel,"Oh, Rachel!"
Monica,Aunt Iris,"OK, look. That is Aunt Iris. This woman has been playing poker since she was five. You gotta listen to every word she says. "
Monica,Aunt Iris,"Uh, Aunt Iris? This is Phoebe, and that's Rachel..."
Monica,Phoebe,"Uh, Aunt Iris? This is Phoebe, and that's Rachel..."
Monica,Rachel,"Uh, Aunt Iris? This is Phoebe, and that's Rachel..."
Phoebe,Ross,"Ross, could we please, please, please listen to anything else?"
Ross,Monica,"So, Phoebs owes $7.50, Monica, you owe $10, and Rachel, you owe fifteen big ones."
Ross,Rachel,"So, Phoebs owes $7.50, Monica, you owe $10, and Rachel, you owe fifteen big ones."
Joey,Phoebe,Uh... Phoebe? Phoebe?
Rachel,Monica,I couldn't be inner. Monica?
Phoebe,Monica,"Monica, in or out?"
Phoebe,Joey,"OK Joey, your bet."
Phoebe,Ross,Ross?
Phoebe,Chandler,Chandler?
Phoebe,Rachel,Me too. Rachel.
Joey,Rachel,"Look, Rachel, we don't have to do this."
Monica,Rachel,"Rachel, there's nothing in it."
Joey,Ross,"That's OK, Ross, you can ask me. What?"
Monica,Rachel,"Mail call, Rachel Green, bunk seven."
